id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,detection_method
0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
